Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TAMAN SRI GOMBAKBatu Caves, Selangor",Freehold,Terrace House,"RM470,000",RM552,89,
"BANDAR BARU KANGKAR PULAIKulai, Johor",Leasehold,Terrace House,"RM488,000",RM348,89,
"Ladang Tok PelamKuala Terengganu, Terengganu",Leasehold,Apartment,"RM232,200",RM276,89,
"TAMAN PUTRI KULAIKulai, Johor",Freehold,Terrace House,"RM400,000",RM258,88,
"TAMAN BESTARI INDAHUlu Tiram, Johor",Freehold,"Terrace House, Semi D","RM555,000",RM405,88,
"CALEDONIAIjok, Selangor",Freehold,Terrace House,"RM594,800",RM396,85,
"OUG ParklaneJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Service Residence,"RM499,000",RM525,84,
"BANDAR UTAMABandar Utama, Selangor",Freehold,Terrace House,"RM1,420,000",RM808,83,
"PRIMA @ SITIAWANSitiawan, Perak",Freehold,Terrace House,"RM270,610",RM193,83,
"BANDAR PUTERI KLANGKlang, Selangor",Freehold,Terrace House,"RM680,000",RM424,83,
"TAMAN PELANGIJohor Bahru, Johor",Freehold,"Terrace House, Semi D","RM580,000",RM285,83,
"TAMAN SERI AUSTINTebrau, Johor",Freehold,Terrace House,"RM650,000",RM422,83,
"TAMAN PELANGI INDAHUlu Tiram, Johor",Freehold,Terrace House,"RM590,000",RM280,82,
"SS2 PETALING JAYAPetaling Jaya, Selangor",Freehold,Terrace House,"RM1,120,000",RM615,81,
"TAMAN PUTRA PRIMAPuchong, Selangor",Freehold,Terrace House,"RM865,000",RM499,80,
"TAMAN DESA TEBRAUTebrau, Johor",Freehold,Terrace House,"RM820,000",RM428,79,
"BANDAR SAUJANA PUTRATanjong Duabelas, Selangor",Leasehold,"Terrace House, Town House","RM450,000",RM332,79,
"KUALA BERANGHulu Terengganu, Terengganu",Leasehold,Semi D,"RM90,000",RM22,77,
"PUNCAK ALAMBandar Puncak Alam, Selangor",Leasehold,"Terrace House, Cluster House","RM390,000",RM286,77,
"TAMAN IMPIANA KESANGBemban, Melaka",Leasehold,Terrace House,"RM299,800",RM174,76,
"INDAHPURAKulai, Johor",Freehold,Terrace House,"RM468,000",RM302,75,
"TAMAN HIJAUAN VALDORSungai Bakap, Penang",Freehold,"Terrace House, Semi D","RM523,660",RM251,73,
"TAMAN MOUNT AUSTINTebrau, Johor",Freehold,Terrace House,"RM600,000",RM406,73,
"Green GardenAyer Itam, Penang",Freehold,Flat,"RM177,500",RM327,72,
"TAMAN KLANG UTAMAKapar, Selangor",Freehold,Terrace House,"RM400,000",RM385,71,
"TAMAN CENTURYJohor Bahru, Johor",Freehold,Terrace House,"RM530,000",RM319,71,
"PULAU INDAHKlang, Selangor",Freehold,"Terrace House, Semi D","RM348,700",RM259,71,
"SCIENTEX JASIN MUTIARABemban, Melaka",Freehold,Terrace House,"RM303,300",RM256,70,
"PUTRA HEIGHTSSubang Jaya, Selangor",Freehold,"Semi D, Terrace House","RM815,000",RM430,70,
"TAMAN DESA CEMERLANGUlu Tiram, Johor",Freehold,Terrace House,"RM430,000",RM322,70,
"TAMAN SRI IMPIAN / BANDAR SRI IMPIANKluang, Johor",Freehold,Terrace House,"RM379,000",RM179,70,
"The Scott Garden SOHOJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Service Residence,"RM650,000",RM851,70,
"Flora Damansara ApartmentDamansara Perdana, Selangor",Leasehold,Apartment,"RM360,000",RM424,69,
"TAMAN TUN DR ISMAILTaman Tun Dr Ismail, Kuala Lumpur","Leasehold, Freehold",Terrace House,"RM1,610,000",RM740,68,
"LA CASA LUNASLunas, Kedah",Freehold,Semi D,"RM516,888",RM227,67,
"TAMAN PULAI MUTIARASkudai, Johor",Freehold,Terrace House,"RM500,000",RM422,67,
"S2 HEIGHTSSeremban 2, Negeri Sembilan",Freehold,Terrace House,"RM675,000",RM375,66,
"TAMAN SENTOSAJohor Bahru, Johor",Freehold,"Semi D, Terrace House","RM580,000",RM287,66,
"TAMAN NUSANTARAIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM390,000",RM353,65,
"TAMAN KLUANG PERDANAKluang, Johor",Freehold,"Terrace House, Semi D","RM150,000",RM107,65,
"TAMAN MOLEKJohor Bahru, Johor",Freehold,Terrace House,"RM500,000",RM305,65,
"BUKIT BANYANSungai Petani, Kedah",Freehold,Terrace House,"RM499,900",RM278,63,
"BANDAR TASEK MUTIARASimpang Ampat, Penang",Freehold,"Semi D, Terrace House","RM370,000",RM263,63,
"BANDAR TASIK SENANGINLenggeng, Negeri Sembilan","Freehold, Leasehold","Bungalow, Terrace House","RM448,920",RM108,63,
"BANDAR PUTERA 2Klang, Selangor",Leasehold,Terrace House,"RM400,000",RM317,63,
"BANDAR RINCHINGSemenyih, Selangor",Freehold,Terrace House,"RM370,000",RM288,62,
"ECO MAJESTICBeranang, Selangor",Freehold,Terrace House,"RM810,000",RM426,62,
"SEKSYEN 30 SHAH ALAMShah Alam, Selangor",Freehold,"Terrace House, Bungalow","RM509,600",RM298,62,
"PERUMAHAN BANDAR BARU GEBENGSungai Karang, Pahang",Leasehold,Terrace House,"RM305,000",RM195,62,
"BANDAR JAYA PUTRAUlu Tiram, Johor",Freehold,Terrace House,"RM595,000",RM469,62,
"BANDAR BOTANICKlang, Selangor",Freehold,Terrace House,"RM770,000",RM468,60,
"TAMAN DAMAI JAYASkudai, Johor",Freehold,Terrace House,"RM299,500",RM348,60,
"SETIA IMPIAN 3Setia Alam, Selangor",Freehold,Terrace House,"RM895,000",RM557,60,
"BANDAR TASIK KESUMABeranang, Selangor",Freehold,"Terrace House, Semi D","RM400,000",RM279,59,
"BANDAR DAMAI PERDANACheras, Selangor",Freehold,Terrace House,"RM645,000",RM527,59,
"Palm Spring @ DamansaraKota Damansara, Selangor",Leasehold,Condominium,"RM495,000",RM489,59,
"TAMAN NUSA BESTARI 2Iskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM500,000",RM328,58,
"BANDAR BARU UDAJohor Bahru, Johor",Leasehold,Terrace House,"RM465,000",RM275,58,
"TAMAN PUNCAK JALILSeri Kembangan, Selangor",Leasehold,"Terrace House, Semi D","RM580,000",RM396,57,
"TAMAN SERAI PERDANABagan Serai, Perak",Freehold,Terrace House,"RM258,800",RM168,56,
"TAMAN DESA PDLinggi, Negeri Sembilan",Freehold,Terrace House,"RM170,000",RM125,56,
"BANDAR SPRINGHILLJimah, Negeri Sembilan",Freehold,"Terrace House, Bungalow","RM266,000",RM262,56,
"TAMAN POLITEKNIKTelok Kemang, Negeri Sembilan",Freehold,Terrace House,"RM220,000",RM157,55,
"TAMAN NUSA BAYUIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM590,000",RM443,55,
"ALAM NUSANTARASetia Alam, Selangor",Freehold,Terrace House,"RM820,000",RM477,55,
"TAMAN PERAKKU SERDANGSitiawan, Perak",Leasehold,Terrace House,"RM168,000",RM120,54,
"TAMAN BUKIT PERDANAKluang, Johor",Freehold,"Terrace House, Semi D","RM363,000",RM204,54,
"PULAI JAYAKulai, Johor",Freehold,Terrace House,"RM450,000",RM323,54,
"BANDAR LAGUNA MERBOK (TERES)Sungai Petani, Kedah",Freehold,Terrace House,"RM370,000",RM243,54,
"BANDAR UNIVERSITISeri Iskandar, Perak",Leasehold,Terrace House,"RM237,500",RM147,53,
"LAMAN SETIAIskandar Puteri (Nusajaya), Johor",Freehold,"Semi D, Terrace House","RM580,000",RM368,53,
"Taman Mount AustinTebrau, Johor",Freehold,Flat,"RM250,000",RM475,53,
"BANDAR SUNGAI LONGBandar Sungai Long, Selangor",Freehold,"Bungalow, Semi D","RM728,000",RM427,52,
"BANDAR JAYA PUTRATebrau, Johor",Freehold,Terrace House,"RM650,000",RM539,52,
"TAMAN PUCHONG UTAMAPuchong, Selangor",Freehold,Terrace House,"RM550,000",RM498,52,
"TAMAN ECO FLORATebrau, Johor",Freehold,Terrace House,"RM941,650",RM500,52,
"TAMAN PULAI UTAMASkudai, Johor",Freehold,Terrace House,"RM505,000",RM325,52,
"DENAI ALAMShah Alam, Selangor",Freehold,Terrace House,"RM900,000",RM452,51,
"TAMAN NUSANTARA PRIMAGelang Patah, Johor",Freehold,Terrace House,"RM680,000",RM351,51,
"TAMAN BUKIT PERDANABatu Pahat, Johor",Freehold,Terrace House,"RM398,000",RM227,51,
"BANDAR TUN HUSSEIN ONNCheras, Selangor",Freehold,"Terrace House, Semi D","RM710,000",RM351,51,
"KOTA EMERALDRawang, Selangor",Freehold,"Terrace House, Semi D, Bungalow","RM780,000",RM362,51,
"TAMAN CAHAYA MASAIPasir Gudang, Johor",Leasehold,Terrace House,"RM270,000",RM335,51,
"HAPPY GARDENJalan Klang Lama (Old Klang Road), Kuala Lumpur","Leasehold, Freehold",Terrace House,"RM715,000",RM425,50,
"TAMAN MERPATI INDAHKulim, Kedah",Freehold,Terrace House,"RM462,000",RM330,50,
"SETIA IMPIAN 4Setia Alam, Selangor",Freehold,Terrace House,"RM720,000",RM553,50,
"BANDAR PUTERI PUCHONGPuchong, Selangor",Freehold,Terrace House,"RM1,090,000",RM595,50,
"BANDAR SERI COALFIELDSIjok, Selangor",Freehold,Terrace House,"RM640,000",RM353,50,
"TAMAN CEMPAKAIpoh, Perak","Freehold, Leasehold",Terrace House,"RM189,000",RM210,50,
"BERTAM PERDANAKepala Batas, Penang",Freehold,"Cluster House, Terrace House","RM330,000",RM228,49,
"BANDAR BUKIT TINGGIKlang, Selangor",Freehold,Terrace House,"RM760,000",RM484,49,
"TAMAN BANDAR BARU SUNGAI LALANGSungai Petani, Kedah",Freehold,Terrace House,"RM190,000",RM143,49,
"TAMAN LAGENDAPadang Serai, Kedah",Freehold,"Terrace House, Semi D","RM270,000",RM192,49,
"BANDAR SELESA JAYASkudai, Johor",Freehold,"Terrace House, Cluster House","RM450,000",RM294,48,
"TAMAN MAHSURIPadang Serai, Kedah",Freehold,Terrace House,"RM250,000",RM188,48,
"SETIA ECO PARKSetia Alam, Selangor",Freehold,"Semi D, Bungalow","RM2,112,450",RM521,48,
"Palmyra ResidencesBangi, Selangor",Freehold,Service Residence,"RM427,000",RM501,48,
"Venice HillCheras, Selangor",Freehold,Condominium,"RM266,500",RM174,48,
"Green HavenMasai, Johor",Freehold,Service Residence,"RM697,400",RM549,48,
"Melinsung Summer Bay ResortPapar, Sabah",Leasehold,Apartment,"RM129,000",RM210,48,
"USJ 2Subang Jaya, Selangor",Freehold,Terrace House,"RM790,000",RM471,47,
"TAMAN JUASSEH SENTOSAJuasseh, Negeri Sembilan",Freehold,"Terrace House, Semi D","RM79,900",RM67,47,
"TAMAN GADONG JAYALabu, Negeri Sembilan",Freehold,Terrace House,"RM250,000",RM192,47,
"TAMAN SRI MUDAShah Alam, Selangor",Freehold,Terrace House,"RM350,000",RM315,47,
"BANDAR AMANJAYA (ZON ANGGERIK)Sungai Petani, Kedah",Freehold,Terrace House,"RM208,000",RM155,47,
"TAMAN DESA BERTAMTanjong Minyak, Melaka",Freehold,"Cluster House, Semi D","RM448,800",RM183,46,
"TAMAN BUKIT REBANA [SP HEIGHTS]Sungai Petani, Kedah",Freehold,Semi D,"RM280,000",RM102,46,
"Taman Terubong Indah (Majestic Heights)Ayer Itam, Penang",Freehold,Flat,"RM152,500",RM218,46,
"BANDAR SEBERANG JAYASeberang Jaya, Penang",Leasehold,"Cluster House, Terrace House","RM290,000",RM279,45,
"GOODVIEW HEIGHTSKajang, Selangor",Freehold,"Terrace House, Semi D","RM988,000",RM457,45,
"TAMAN BAKTI (YNS)Labu, Negeri Sembilan",Freehold,Terrace House,"RM80,000",RM67,45,
"BERIS MERAGAKijal, Terengganu","Leasehold, Freehold","Bungalow, Semi D","RM255,000",RM147,45,
"USJ 3Subang Jaya, Selangor",Freehold,Terrace House,"RM725,000",RM478,45,
"Taman Pandan JayaCheras, Selangor",Leasehold,Flat,"RM190,000",RM292,45,
"ECO ARDENCESetia Alam, Selangor",Freehold,"Terrace House, Semi D","RM1,875,000",RM661,44,
"SCIENTEX JASINBemban, Melaka",Freehold,Terrace House,"RM279,000",RM238,44,
"TAMAN DATO HORMATTelok Panglima Garang, Selangor","Leasehold, Freehold","Semi D, Terrace House","RM450,000",RM331,44,
"TAMAN NUSA IDAMANIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM755,000",RM354,44,
"TAMAN PUTERA/SURIAJohor Bahru, Johor",Freehold,Terrace House,"RM447,500",RM272,44,
"BANDAR BARU SERI ALAMPasir Gudang, Johor",Freehold,Terrace House,"RM300,000",RM348,44,
"SS3 PETALING JAYAPetaling Jaya, Selangor",Freehold,"Bungalow, Terrace House","RM980,000",RM412,43,
"TAMAN SERI ANDALASKlang, Selangor",Leasehold,Terrace House,"RM450,000",RM302,43,
"TAMAN PAGOH JAYA - TR 428Pagoh, Johor",Freehold,Terrace House,"RM457,300",RM272,43,
"TAMAN DESA JAYAJohor Bahru, Johor",Freehold,Terrace House,"RM430,000",RM324,43,
"TAMAN SRI SAUJANAKota Tinggi, Johor",Freehold,Terrace House,"RM370,000",RM257,43,
"TAMAN RIASungai Petani, Kedah",Freehold,Terrace House,"RM192,000",RM124,43,
"TAMAN BUKIT MALURIKepong, Kuala Lumpur",Leasehold,Terrace House,"RM990,000",RM492,43,
"SS19Subang Jaya, Selangor",Freehold,Terrace House,"RM777,500",RM489,42,
"TAMAN PUTERIMAS (KLUANG)Kluang, Johor",Freehold,Terrace House,"RM170,000",RM119,42,
"TAMAN AIR BIRUPasir Gudang, Johor",Leasehold,Terrace House,"RM235,000",RM224,42,
"BANDAR PUTRA BERTAMKepala Batas, Penang",Freehold,"Terrace House, Cluster House","RM350,000",RM260,42,
"TAMAN KOTA JAYAKota Tinggi, Johor",Freehold,Terrace House,"RM305,000",RM188,42,
"TAMAN SRI PULAIKulai, Johor",Freehold,Terrace House,"RM350,000",RM248,42,
"TAMAN ANGKASA NURIDurian Tunggal, Melaka",Leasehold,Terrace House,"RM364,280",RM219,42,
"Maple ResidenceKlang, Selangor",Freehold,Service Residence,"RM685,400",RM570,42,
"Sri PenaraCheras, Kuala Lumpur",Leasehold,Apartment,"RM274,000",RM424,42,
"BUKIT JELUTONGShah Alam, Selangor",Freehold,"Terrace House, Semi D","RM1,350,000",RM444,41,
"TAMAN PASIR PUTIHPasir Gudang, Johor",Freehold,Terrace House,"RM350,000",RM257,41,
"TAMAN PANTAI SEPANG PUTRASepang, Selangor",Freehold,"Terrace House, Bungalow","RM380,000",RM104,41,
"USJ 11Subang Jaya, Selangor",Freehold,Terrace House,"RM865,000",RM515,41,
"SETIA ECO GARDENSkudai, Johor",Freehold,Terrace House,"RM630,000",RM416,41,
"TAMAN KRUBONG JAYAKrubong, Melaka",Leasehold,"Semi D, Terrace House","RM272,500",RM193,40,
"BANDAR PUTERI JAYA SEKSYEN 2Sungai Petani, Kedah",Freehold,Terrace House,"RM276,500",RM179,40,
"TAMAN AUSTIN DUTATebrau, Johor",Freehold,"Terrace House, Cluster House","RM732,500",RM417,40,
"COUNTRY HEIGHTSKajang, Selangor",Freehold,Bungalow,"RM499,000",RM348,40,
"Greenfield RegencyTampoi, Johor",Freehold,Service Residence,"RM260,000",RM475,40,
"Medini SignatureIskandar Puteri (Nusajaya), Johor",Freehold,Condominium,"RM973,500",RM824,40,
"SETIA ECOHILLSemenyih, Selangor",Freehold,"Semi D, Terrace House","RM650,000",RM356,39,
"TAMAN MELAWATIUlu Klang, Selangor",Freehold,"Semi D, Terrace House","RM710,000",RM396,39,
"BANDAR IOISegamat, Johor",Freehold,Terrace House,"RM300,000",RM179,39,
"KEPONG BARUKepong, Kuala Lumpur","Freehold, Leasehold",Terrace House,"RM700,000",RM454,39,
"TAMAN RIA JAYA FASA 2Sungai Petani, Kedah",Freehold,Terrace House,"RM165,000",RM129,39,
"TAMAN BUKIT JAYAUlu Tiram, Johor",Freehold,Terrace House,"RM460,000",RM305,39,
"NUSA SENTRALIskandar Puteri (Nusajaya), Johor",Freehold,"Cluster House, Terrace House","RM720,000",RM474,39,
"TAMAN TASIK INDAHKluang, Johor",Freehold,Terrace House,"RM578,000",RM198,39,
"Samudera 1Seri Manjong, Perak",Freehold,Apartment,"RM223,300",RM230,39,
"SS22 & SS22A DAMANSARA JAYAPetaling Jaya, Selangor",Freehold,Terrace House,"RM1,400,000",RM659,38,
"TAMAN IPOHIpoh, Perak",Freehold,"Terrace House, Semi D","RM459,000",RM211,38,
"SETIA ECO GARDENGelang Patah, Johor",Freehold,Terrace House,"RM618,500",RM466,38,
"TAMAN LESTARI PUCHONGSeri Kembangan, Selangor",Leasehold,Terrace House,"RM489,500",RM370,38,
"PANORAMA LAPANGAN PERDANAIpoh, Perak",Freehold,"Terrace House, Semi D","RM452,500",RM246,38,
"TAMAN TUNKUMiri, Sarawak",Leasehold,Terrace House,"RM270,000",RM181,38,
"Mentari CourtBandar Sunway, Selangor",Leasehold,Apartment,"RM380,000",RM490,38,
"OVERSEAS UNION GARDENJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Terrace House,"RM880,000",RM513,37,
"PERWIRA SERI ISKANDARSeri Iskandar, Perak","Freehold, Leasehold",Terrace House,"RM145,000",RM104,37,
"LENA RESIDENCEKlang, Selangor",Freehold,Terrace House,"RM782,800",RM563,37,
"TAMAN RAIA PERMAISimpang Pulai, Perak",Leasehold,Terrace House,"RM85,000",RM65,37,
"TAMAN SRI SKUDAISkudai, Johor",Freehold,"Terrace House, Semi D","RM400,000",RM244,37,
"TAMAN PAYA RUMPUT PERDANAPaya Rumput, Melaka",Freehold,"Bungalow, Town House","RM640,000",RM155,37,
"TAMAN PENAWAR HARMONIPengerang, Johor","Leasehold, Freehold",Terrace House,"RM150,000",RM107,37,
"SEKSYEN 19 SHAH ALAMShah Alam, Selangor",Leasehold,Terrace House,"RM451,050",RM357,37,
"TAMAN SRI PULAI PERDANAKulai, Johor",Freehold,Terrace House,"RM495,000",RM354,37,
"BANDAR UTAMA BATANG KALIBatang Kali, Selangor",Freehold,Terrace House,"RM210,000",RM221,37,
"BAYAN BARUBayan Baru, Penang",Leasehold,Terrace House,"RM480,000",RM364,37,
"TAMAN NUSA BESTARIIskandar Puteri (Nusajaya), Johor",Freehold,"Terrace House, Cluster House","RM800,000",RM369,37,
"TAMAN NUSA DAMAIPasir Gudang, Johor",Freehold,Terrace House,"RM350,000",RM237,37,
"SEKSYEN 17Petaling Jaya, Selangor",Freehold,"Terrace House, Semi D","RM880,000",RM466,37,
"TAMAN RIA JAYA FASA 1Sungai Petani, Kedah",Freehold,Terrace House,"RM180,000",RM150,37,
"TAMAN KENARI FASA 1Kulim, Kedah",Freehold,Terrace House,"RM260,000",RM172,37,
"TAMAN EVERGREEN HEIGHTSBatu Pahat, Johor",Freehold,"Terrace House, Bungalow","RM450,000",RM236,37,
"TAMAN WIDURISungai Jawi, Penang",Freehold,Terrace House,"RM230,000",RM192,37,
"Sri SaujanaGeorgetown, Penang",Leasehold,Apartment,"RM240,000",RM379,37,
"TAMAN BINTULU JAYABintulu, Sarawak",Freehold,Terrace House,"RM80,000",RM55,36,
"TAMAN KOTA SRI AHMAD SHAHKuantan, Pahang",Leasehold,Terrace House,"RM593,111",RM261,36,
"BANDAR PUTERI JAYA SEKSYEN 1Sungai Petani, Kedah",Freehold,Terrace House,"RM196,000",RM164,36,
"BANDAR PARKLANDSKlang, Selangor",Freehold,"Terrace House, Semi D","RM850,000",RM417,36,
"SERENIA CITYDengkil, Selangor",Freehold,Terrace House,"RM753,444",RM459,36,
"TANJUNG PUTERI RESORTPasir Gudang, Johor",Freehold,"Bungalow, Terrace House","RM365,000",RM247,36,
"BANDAR BUKIT PUCHONGPuchong, Selangor",Freehold,"Semi D, Terrace House","RM557,500",RM426,36,
"BANDAR SIBU JAYASibu, Sarawak",Leasehold,Terrace House,"RM200,000",RM110,36,
"Rumah Pangsa College Heights PajamMantin, Negeri Sembilan",Freehold,Flat,"RM70,000",RM114,36,
"TAMAN RAMBAI IDAMANBukit Rambai, Melaka",Freehold,"Semi D, Terrace House","RM295,000",RM172,35,
"TAMAN RIMBAYUTanjong Duabelas, Selangor",Leasehold,Terrace House,"RM770,000",RM442,35,
"TAMAN BUNGA RAYASerendah, Selangor",Leasehold,Terrace House,"RM250,000",RM209,35,
"TAMAN JENGKA SEJAHTERA (PT 29246)Chenor, Pahang",Leasehold,Terrace House,"RM243,750",RM158,35,
"AMBANG BOTANICKlang, Selangor",Freehold,"Terrace House, Semi D","RM1,490,000",RM567,35,
"TAMAN SELASIH FASA 1Kulim, Kedah",Freehold,Terrace House,"RM290,000",RM200,35,
"SETIA INDAH 9Setia Alam, Selangor",Freehold,Terrace House,"RM1,008,000",RM608,35,
"PUSAT BANDAR PUCHONGPuchong, Selangor",Freehold,Terrace House,"RM768,000",RM526,35,
"TAMAN SRI SINARSegambut, Kuala Lumpur",Freehold,Terrace House,"RM450,000",RM676,35,
"BANDAR SERI BOTANIIpoh, Perak",Freehold,Semi D,"RM496,800",RM306,35,
"TAMAN BUKIT DAHLIAPasir Gudang, Johor",Leasehold,Terrace House,"RM450,000",RM343,35,
"TAMAN WARISAN PUTERIAmpangan, Negeri Sembilan",Freehold,"Semi D, Terrace House","RM420,000",RM200,35,
"Residensi 22Mont Kiara, Kuala Lumpur",Freehold,Condominium,"RM2,060,000",RM988,35,
"Seksyen 24 Shah AlamShah Alam, Selangor",Leasehold,Flat,"RM180,000",RM282,35,
"Taman PelangiPerai, Penang",Leasehold,Flat,"RM92,000",RM158,35,
"Setia Sky 88Johor Bahru, Johor",Freehold,Service Residence,"RM1,016,235","RM1,313",35,
"Sri LanangTebrau, Johor",Freehold,Flat,"RM150,000",RM199,35,
"TAMAN SCIENTEX KOTA TINGGIKota Tinggi, Johor",Leasehold,Terrace House,"RM302,150",RM210,34,
"TAMAN LAGENDA PUTRAKulai, Johor",Freehold,Terrace House,"RM627,500",RM312,34,
"TAMAN PANDAN INDAHAmpang, Selangor",Leasehold,"Terrace House, Town House","RM545,000",RM471,34,
"LAMAN HARIS @ ECO GRANDEURIjok, Selangor",Leasehold,Terrace House,"RM335,000",RM239,34,
"BANDAR SRI INDAHTawau, Sabah",Leasehold,Terrace House,"RM380,000",RM167,34,
"Seksyen 2 Wangsa Maju FlatWangsa Maju, Kuala Lumpur",Leasehold,Flat,"RM216,000",RM352,34,
"Skudai VillaSkudai, Johor",Freehold,Condominium,"RM370,000",RM329,34,
"M RESIDENCERawang, Selangor",Freehold,Terrace House,"RM585,000",RM366,33,
"CHEMOR KAYANGANIpoh, Perak",Leasehold,Terrace House,"RM124,637",RM69,33,
"ECO BOTANICIskandar Puteri (Nusajaya), Johor",Freehold,"Semi D, Cluster House","RM1,300,000",RM475,33,
"TAMAN MAWARPasir Gudang, Johor",Leasehold,Terrace House,"RM380,000",RM301,33,
"TAMAN SOON HUP(JALAN PERMAI)Sibu, Sarawak",Leasehold,Terrace House,"RM350,000",RM190,33,
"TAMAN SUNGAI KAPAR INDAHKapar, Selangor",Freehold,Terrace House,"RM430,000",RM330,33,
"ULU SUNGAI MERAHSibu, Sarawak",Leasehold,Terrace House,"RM450,000",RM175,33,
"TAMAN SENAI UTAMAKulai, Johor",Freehold,"Terrace House, Semi D","RM380,000",RM235,33,
"BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS)Tanjong Duabelas, Selangor",Freehold,Terrace House,"RM355,000",RM232,33,
"TAMAN BUKIT TIRAMUlu Tiram, Johor",Freehold,Terrace House,"RM380,000",RM336,33,
"BANDAR METRO PUCHONGPuchong, Selangor",Leasehold,"Semi D, Terrace House","RM1,100,000",RM533,33,
"TAMAN SUTERAPerling, Johor",Freehold,Terrace House,"RM590,000",RM300,33,
"TAMAN SAMARINDAHKota Samarahan, Sarawak","Leasehold, Freehold",Terrace House,"RM300,000",RM167,33,
"ARC @ Austin HillsJohor Bahru, Johor",Freehold,Service Residence,"RM350,000",RM492,33,
"1 Bukit UtamaBandar Utama, Selangor",Freehold,Condominium,"RM1,268,000",RM569,33,
"Kipark ApartmentTampoi, Johor",Leasehold,Apartment,"RM360,000",RM410,33,
"RESIDENSI MESRAGurun, Kedah",Freehold,Terrace House,"RM192,000",RM132,32,
"KINRARABandar Kinrara, Selangor",Freehold,Terrace House,"RM786,000",RM488,32,
"TAMAN JOHORTampoi, Johor",Freehold,"Bungalow, Terrace House","RM447,500",RM236,32,
"TAMAN TANJUNG MINYAK PERDANATanjong Minyak, Melaka",Leasehold,"Town House, Terrace House","RM302,500",RM175,32,
"BANDAR AMANJAYA (KEMBOJA)Sungai Petani, Kedah",Freehold,Terrace House,"RM207,500",RM144,32,
"USJ 6Subang Jaya, Selangor",Freehold,Terrace House,"RM745,000",RM506,32,
"BANDAR BUKIT MAHKOTABangi, Selangor",Freehold,"Semi D, Bungalow, Terrace House","RM495,000",RM288,32,
"KOTA BAYUEMASKlang, Selangor",Freehold,Terrace House,"RM740,000",RM421,32,
"LAKE FIELD - MEADOWS & GLADESSungai Besi, Kuala Lumpur",Leasehold,Terrace House,"RM1,232,500",RM690,32,
"TAMAN AMAN PERDANAKapar, Selangor",Freehold,Semi D,"RM827,500",RM320,32,
"BANDAR SERI BOTANISimpang Pulai, Perak",Freehold,"Semi D, Bungalow, Terrace House","RM497,500",RM268,32,
"TAMAN SRI LAMBAKSimpang Rengam, Johor",Leasehold,Bungalow,"RM170,000",RM58,32,
"JADE HILLSKajang, Selangor",Freehold,"Semi D, Terrace House, Bungalow","RM1,765,000",RM545,32,
"TAMAN SCIENTEX SENAISenai, Johor",Freehold,Terrace House,"RM465,000",RM418,32,
"TAMAN PUTRA PERMAISeri Kembangan, Selangor",Leasehold,"Terrace House, Semi D","RM645,000",RM357,32,
"Rifle RangeAyer Itam, Penang",Leasehold,Flat,"RM70,000",RM183,32,
"Casa SubangSubang Jaya, Selangor",Freehold,Service Residence,"RM485,000",RM487,32,
"Molek RegencyJohor Bahru, Johor",Freehold,Service Residence,"RM385,000",RM526,32,
"Nusa Heights (Nusa Puncak)Iskandar Puteri (Nusajaya), Johor",Freehold,Apartment,"RM392,500",RM410,32,
"Tasek Seri AlamMasai, Johor",Freehold,Flat,"RM130,000",RM198,32,
"Flat Taman PerlingPerling, Johor",Freehold,Flat,"RM145,000",RM248,32,
"Jadite SuitesKajang, Selangor",Freehold,Service Residence,"RM704,300",RM486,32,
"N-Park CondominiumGelugor, Penang",Freehold,Condominium,"RM445,000",RM636,32,
"Seri Mutiara ApartmentMasai, Johor",Freehold,Apartment,"RM450,000",RM342,32,
"Seri BaiduriUlu Tiram, Johor",Freehold,Apartment,"RM35,000",RM50,32,
"Taman Penampang ApartmentPenampang, Sabah",Leasehold,Apartment,"RM332,500",RM346,32,
"SuriaMas SuitesJohor Bahru, Johor",Leasehold,Service Residence,"RM400,000",RM367,32,
"BANGI AVENUEBangi, Selangor",Freehold,Terrace House,"RM630,000",RM430,31,
"TAMAN MALIM JAYABachang, Melaka",Leasehold,Terrace House,"RM350,000",RM231,31,
"TAMAN PULAI HIJAUANSkudai, Johor",Freehold,"Semi D, Terrace House","RM670,000",RM297,31,
"BANDAR SRI PUTRABangi, Selangor",Freehold,Terrace House,"RM575,000",RM298,31,
