Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TAMAN HALAMAN INDAHSungai Jawi, Penang",Freehold,Terrace House,"RM310,000",RM230,23,
"TAMAN BUKIT MEWAHTampoi, Johor",Freehold,Terrace House,"RM522,500",RM373,23,
"BANDAR PUTERI HILLPARKSungai Petani, Kedah",Freehold,Terrace House,"RM265,000",RM157,23,
"DESA COALFIELDSIjok, Selangor",Freehold,Terrace House,"RM425,000",RM290,23,
"TAMAN BUKIT SENDAYANBandar Sri Sendayan, Negeri Sembilan",Leasehold,Terrace House,"RM250,000",RM180,23,
"OFF JALAN TELOK GADONGKlang, Selangor",Freehold,Terrace House,"RM475,000",RM280,23,
"ISLAND GLADESJelutong, Penang",Freehold,Terrace House,"RM1,280,000",RM656,23,
"BEHRANG 2020 / TAMAN WAWASANUlu Bernam, Perak",Freehold,Terrace House,"RM225,000",RM184,23,
"BANDAR SULTAN SULAIMANKapar, Selangor",Leasehold,Terrace House,"RM230,000",RM238,23,
"TAMAN PENAGA MEWAHAmpangan, Negeri Sembilan",Freehold,Terrace House,"RM130,000",RM94,23,
"BANDAR SUNGAI BUAYASerendah, Selangor",Leasehold,Terrace House,"RM260,000",RM165,23,
"MATANG JAYAKuching, Sarawak",Leasehold,Terrace House,"RM330,000",RM182,23,
"TAMAN GUAR PERAHU (TAMAN BERKAT)Kubang Semang, Penang",Freehold,Terrace House,"RM250,000",RM219,23,
"Main Place ResidenceSubang Jaya, Selangor",Freehold,Service Residence,"RM425,000",RM540,23,
"Beverly Hills 3Kota Kinabalu, Sabah",Leasehold,Apartment,"RM280,000",RM410,23,
"D'Esplanade ResidenceJohor Bahru, Johor",Freehold,Service Residence,"RM420,000",RM638,23,
"Taman Sri SentosaJalan Klang Lama (Old Klang Road), Kuala Lumpur",Leasehold,Flat,"RM165,000",RM229,23,
"Desa PalmaNilai, Negeri Sembilan",Freehold,Apartment,"RM190,000",RM242,23,
"Maxim Citylights @ Sentul KlSentul, Kuala Lumpur",Leasehold,Service Residence,"RM420,000",RM381,23,
"Taman JatiKulim, Kedah",Freehold,Flat,"RM100,000",RM163,23,
"TAMAN SOGABatu Pahat, Johor",Freehold,"Terrace House, Semi D","RM320,000",RM205,22,
"BERJAYA PARK, SEKSYEN 32, SHAH ALAMShah Alam, Selangor",Freehold,Terrace House,"RM547,500",RM368,22,
"TAMAN DESA SKUDAISkudai, Johor",Freehold,Terrace House,"RM420,000",RM260,22,
"KB JINJANG UTARAJinjang, Kuala Lumpur",Leasehold,Bungalow,"RM575,000",RM187,22,
"YARRA PARK (FAIRFIELD VILLA)Sungai Petani, Kedah",Freehold,"Bungalow, Terrace House","RM688,900",RM119,22,
"KINRARA RESIDENCEPuchong, Selangor",Leasehold,"Semi D, Terrace House","RM1,915,000",RM706,22,
"TAMAN SERAI WANGIPadang Serai, Kedah",Freehold,"Semi D, Terrace House","RM255,000",RM173,22,
"TAMAN UNIVERSITI INDAHSeri Kembangan, Selangor",Freehold,Terrace House,"RM615,000",RM440,22,
"TAMAN PALM HEIGHTLahad Datu, Sabah",Leasehold,Terrace House,"RM460,000",RM229,22,
"TAMAN ANGSANAKulim, Kedah",Freehold,Terrace House,"RM260,000",RM161,22,
"TROPICANA HEIGHTSSemenyih, Selangor",Freehold,"Town House, Terrace House","RM830,000",RM489,22,
"TAMAN PERMAIPURASungai Lalang, Kedah",Freehold,"Terrace House, Bungalow","RM252,000",RM131,22,
"TANJONG PINANGTanjong Tokong, Penang",Freehold,"Bungalow, Semi D","RM3,090,000","RM1,008",22,
"TAMAN DESATaman Desa, Kuala Lumpur",Freehold,Terrace House,"RM1,515,000",RM628,22,
"TAMAN ANGSAMASRasah, Negeri Sembilan",Freehold,Terrace House,"RM200,000",RM159,22,
"TAMAN SRI PUTRABanting, Selangor","Freehold, Leasehold",Terrace House,"RM310,000",RM237,22,
"TAMAN SEJATI INDAH FASA 3BSungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM247,500",RM177,22,
"KOTA WARISANDengkil, Selangor",Freehold,Terrace House,"RM545,000",RM290,22,
"TAMAN MERDEKABatu Berendam, Melaka","Leasehold, Freehold","Terrace House, Semi D","RM269,000",RM182,22,
